"Configuration Groups","Configurazione Gruppi"
"Add Group","Aggiungi Gruppo"
"Manage Groups","Modifica Gruppi"
"Group Name","Nome Gruppo"
"Status","Stato"
"Enable","Abilita"
"Disable","Disabilita"
"List Group Filter","Lista Gruppi"
"Title","Titolo"
"Identifier","Identificatore"
"Manufacturer","Produttore"
"Exta Attribute","Attributo Extra"
"Is Active","Attivo"
"Add Record","Aggiungi Gruppo"
"Delete","Elimina"
"Actions","Azioni"
"Groups Manager","Lista Gruppi"
"General Setting","Impostazioni Generali"
"Modules Setting","Impostazioni Modulo"
"Owl Carousel Settings","Impostazioni Owl Carousel"
"Information - Support","Informazione - Supporto"
"Enabled","Abilita"
"Layout Of Groups List Page","Layout Lista Gruppi"
"Limit Items On Listing Page","Limite elementi visibili nella pagina"
"CONFIG FOR GRID LAYOUT","CONFIGURAZIONE GRIGLIA"
"Columns in Large Screen","Colonne visibili in Large Screen"
"Columns In Medium Screen","Colonne visibili in Medium Screen"
"Columns In Small Screen","Colonne visibili in Small Screen"
"Columns In Mini Small Screen","Colonne visibili in Mini Small Screen"
"Set Width and Height for Images","Imposta Larghezza e Altezza per Immagine"
"Image Size, it is used in Group list","Dimensione Immagine nella lista Gruppi"
"Image Size, it is used in Product list","Dimensione Immagine nella lista Prodotti Gruppi"
"Group Navigator Module","Navigazione Gruppi a livelli"
"Enable Navigator Module","Abilita Navigazione Gruppi"
"Group Navigator Title","Titolo Navigazione a livelli"
"Filter by Group","Filtro per Gruppi"
"Choose Group/s to show on Navigator","Scegli il/i Gruppo/i da visualizzare nel frontend della navigazione a livelli."
"Use OWL Carousel","Usa Owl Carousel"
"Speed","Velocita"
"Determines the duration of the transition in milliseconds. Default will be 4000 milliseconds","Determinare la durata della transizione in millisecondi. Di default sará di 4000 millesecondi"
"Yes","Si"
"YES","SI"
"-- All Groups --","-- Tutti i Gruppi --"
"Grid","Griglia"
"List","Lista"
"All","Tutti"
"Total of %d record(s) were successfully deleted","Totale di %d elemento(i) sono stati cancellati con successo"
"Group was successfully saved","Gruppo salvato con successo"
"Next step field up all details, and Save your Record","Inserisci i dati per completare il salvataggio del Gruppo. "
"No records found.","Nessun record trovato"
"Carousel Title","Titolo carousel"
"Chose title you want show on the top of Carousel. Or leave empty if you wont show title","Scegli il titolo da mostrare sopra al Carousel. O lascia vuoto per disabilitare il titolo"
"If you need to insert Carousel like a block, you can paste the follow code in CMS page :","Se hai bisogno di inserire il Carousel come blocco, puoi copiare il codice seguente nella tua pagina CMS :"
"For more Info on ours module o for a support have a look on","Per ulteriori info sul nostro modulo o per un supporto tecnico visita"
"Choose how show the List Page","Scegli come vedere la Lista Gruppi"
"Limit Items Show On Groups Listing Page","Limite Elementi da vedere nella pagina lista Gruppi"
"Choose Number column will show in grid mode","Scegli il numero di colonne da visualizzare in modalitá griglia"
"Formart WidthxHeight, for example: 600x250 o Auto for basic formart","Formato LarghezzaxAltezza, per esempio 600x250 o Auto per il suo formato di base"
"Number Items will slide on a time. Default: 1","Numero di Elementi per transizione. Default: 1"
"Developers :","Sviluppatori :"
"www.armah.it/armah-extension-en/","www.armah.it/armah-extension-it/"
"Successfully Save, you can continue to edit","Salvataggio riuscito, puoi continuare a modificare"
"Your Group has been modify","Il Gruppo é stato modificato con successo"
"Save Changes And Go in Configuration Group","Salva le Modifiche e vai in Configurazione Gruppo"
"Save Changes","Salva le Modifiche"
"Save And Go in Configuration Group","Salva e vai in Configurazione Gruppo"
"Save And Continue Edit","Salva e Continua a modificare"
"General Information","Informazioni Generali"
"Group Information","Informazioni Gruppo"
"Add New Group","Aggiungi un nuovo Gruppo"
"Configuration Group","Configurazione Gruppo"
"General Information ","Informazioni Generali "
"Group: %s","Gruppo: %s"
"Save Group","Salva Gruppo"
"Back","Indietro"
"Meta Information","Informazioni Meta"
"Meta Description","Meta Descrizione"
"Select Extra Attribute","Seleziona Extra Attributo"
"Select Category","Seleziona una Categoria"
"Change status","Cambia stato"
"Page","Pagina"
" of "," di "
"Total ","Totale "
" Items"," Elementi"
"By Default the title will be the same of Label","Di Default il titolo sará uguale all'etichetta"
"Width of each slide. Set field without unit px. Default: 180px","Larghezza di ogni Slide. Imposta il valore senza l'unitá px. Default: 180px"
"Show Arrow","Mostra Freccie Direzionali"
"Slide Width","Larghezze Slide"
"Developed:","Sviluppato:"